"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 13 17:19:01 CST 2024","Tue Aug 13 17:19:01 CST 2024","452","Case","test_01_login","","","","test_01_login",""
"failed","Tue Aug 13 17:19:01 CST 2024","Tue Aug 13 17:19:01 CST 2024","117","Case","test_02_member","","","","test_02_add_member[手机号不符合规则-92779-1982716258-301-数据写入异常]",""
"failed","Tue Aug 13 17:19:01 CST 2024","Tue Aug 13 17:19:01 CST 2024","53","Case","test_02_member","","","","test_02_add_member[已经存在的会员号新增-92772-19827162581-301-数据写入异常]",""
"passed","Tue Aug 13 17:19:01 CST 2024","Tue Aug 13 17:19:02 CST 2024","445","Case","test_03_sales","","","","test_03_sales_order_out",""
"passed","Tue Aug 13 17:19:01 CST 2024","Tue Aug 13 17:19:01 CST 2024","45","Case","test_02_member","","","","test_02_add_member[正常的会员号新增-92772-19827162581-200-成功]",""
